,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000055332,181.8205377,0.116515894,0.063754157,1.827581116,0.067612442,0.136066206,EIF2AK2
ENSG00000055483,31.92538765,-0.091874904,0.049911527,-1.840755213,0.065657439,0.132716755,USP36
ENSG00000055732,7.63825207,-0.44782247,0.110650162,-4.047192183,5.18E-05,0.000272168,MCOLN3
ENSG00000055917,69.52898089,-0.128909796,0.043933274,-2.934217858,0.003343894,0.010303955,PUM2
ENSG00000056050,162.0934406,0.11586154,0.051391203,2.254501437,0.02416464,0.057200824,HPF1
ENSG00000056558,11.17158274,0.475864124,0.124777477,3.813702081,0.0001369,0.000635326,TRAF1
ENSG00000056661,32.61109789,-0.181877223,0.04996232,-3.640287791,0.000272333,0.001158107,NA
ENSG00000056736,132.4774015,-0.312239697,0.11407781,-2.737076527,0.006198787,0.017601018,IL17RB
ENSG00000056972,82.12497561,-0.385803702,0.062106349,-6.211984883,5.23E-10,1.47E-08,TRAF3IP2
ENSG00000056998,14.30051203,0.16726669,0.085174879,1.963803091,0.049552931,0.105204268,GYG2
ENSG00000057149,11.74623164,1.952111806,0.299172551,6.525036477,6.80E-11,2.61E-09,SERPINB3
ENSG00000057294,507.9965869,-0.27898492,0.124369301,-2.243197623,0.024884074,0.058653427,PKP2
ENSG00000057608,1766.321772,0.088739138,0.034000274,2.609953635,0.00905545,0.024434291,GDI2
ENSG00000057657,83.76277449,0.802125015,0.151063349,5.309858545,1.10E-07,1.38E-06,PRDM1
ENSG00000057663,236.0649627,-0.075077622,0.041278765,-1.818795287,0.068942668,0.138259346,ATG5
ENSG00000057704,292.6969015,-0.741466025,0.142235375,-5.212950894,1.86E-07,2.14E-06,TMCC3
ENSG00000057757,264.5600731,-0.149745893,0.04834011,-3.097756566,0.001949915,0.006419505,PITHD1
ENSG00000057935,92.30260582,-0.239022705,0.053416347,-4.47471081,7.65E-06,5.19E-05,MTA3
ENSG00000058063,99.79692425,0.126354944,0.039832404,3.172164652,0.001513072,0.005127009,ATP11B
ENSG00000058085,92.23394825,0.810635655,0.158778368,5.105454017,3.30E-07,3.49E-06,LAMC2
ENSG00000058091,17.79325046,0.299252415,0.085164357,3.513822284,0.000441708,0.001763879,CDK14
ENSG00000058262,120.7722899,0.38084514,0.078439548,4.855269456,1.20E-06,1.06E-05,SEC61A1
ENSG00000058272,154.7479803,0.218235182,0.067880372,3.214996829,0.00130446,0.004508691,PPP1R12A
ENSG00000058668,12.2677574,0.300632085,0.084010064,3.578524637,0.000345539,0.00142149,ATP2B4
ENSG00000058729,83.30122306,-0.068400356,0.03832972,-1.784525313,0.074338345,0.147216473,RIOK2
ENSG00000058804,151.3712856,0.21114943,0.077172518,2.736070236,0.006217775,0.017642028,NDC1
ENSG00000059145,33.09938517,0.185360152,0.067976589,2.726823376,0.006394726,0.018061582,UNKL
ENSG00000059377,22.32224408,0.653153762,0.106045119,6.159206289,7.31E-10,1.96E-08,TBXAS1
ENSG00000059378,311.4711325,0.143411503,0.073946802,1.939387493,0.052454172,0.110188537,PARP12
ENSG00000059573,254.2462516,-0.524676829,0.07096322,-7.393644567,1.43E-13,1.09E-11,ALDH18A1
ENSG00000059588,122.8581129,-0.181856601,0.063468178,-2.865319377,0.004165889,0.012469556,TARBP1
ENSG00000059758,34.00641285,0.162705155,0.062986682,2.583167568,0.009789776,0.026138618,CDK17
ENSG00000060069,71.58596394,-0.145263123,0.04901682,-2.963536238,0.003041263,0.009460758,CTDP1
ENSG00000060138,873.8141297,0.185980928,0.071244237,2.610469788,0.009041796,0.024405932,YBX3
ENSG00000060237,60.44635604,0.306426902,0.073465435,4.171035034,3.03E-05,0.000170695,WNK1
ENSG00000060339,505.2951208,0.149211844,0.072167071,2.067589018,0.038678686,0.085413746,CCAR1
ENSG00000060491,30.01486002,0.150563717,0.052310995,2.878242252,0.003998979,0.012020939,OGFR
ENSG00000060558,19.30035646,1.030736218,0.141141667,7.302848557,2.82E-13,2.04E-11,GNA15
ENSG00000060566,21.82434578,-0.518117674,0.199082444,-2.602528198,0.00925392,0.024900584,CREB3L3
ENSG00000060642,93.01100379,-0.200871144,0.058026773,-3.461697637,0.00053678,0.002087163,PIGV
ENSG00000060709,10.63301688,-0.467047454,0.094110551,-4.962753356,6.95E-07,6.64E-06,RIMBP2
ENSG00000060718,4.970712128,0.293922664,0.129392799,2.271553486,0.023113493,NA,COL11A1
ENSG00000060749,44.06672536,-0.110203614,0.051941672,-2.121680153,0.033864606,0.076388476,QSER1
ENSG00000060762,603.1517989,-0.232863843,0.071486825,-3.2574372,0.001124231,0.003961601,MPC1
ENSG00000060971,180.8318287,-0.395010897,0.076431398,-5.168175768,2.36E-07,2.63E-06,ACAA1
