gene_symbol,ENSEMBL_ID,IBD,IBD.1,non.IBD,non.IBD.1,non.IBD.2,IBD.2,IBD.3,non.IBD.3,IBD.4,non.IBD.4
GPANK1,ENSG00000204438,67.5873428,84.18426074,52.18347656,77.84782155,55.99281573,76.71202136,60.9986888,50.57875525,73.54231975,105.6013965
CSNK2B,ENSG00000204435,309.8951569,249.3760177,244.7225108,265.7305447,310.876779,249.7402473,217.4055832,300.0082332,464.7874608,329.3331689
LY6G5B,ENSG00000240053,2.876057141,0,14.39544181,3.742683728,6.415843469,6.818846344,0,2.078578983,2.94169279,3.579708357
LY6G5C,ENSG00000204428,2.157042855,0,0,5.23975722,1.166516994,5.966490551,3.128137887,3.464298305,8.82507837,3.579708357
ABHD16A,ENSG00000204427,287.6057141,312.9113088,338.2928825,234.2920014,292.7957656,244.6261126,292.4808924,268.1366888,347.1197492,322.1737521
LY6G6F,ENSG00000204424,0,0,0,4.491220474,0,0,0,1.385719322,0,0
LY6G6D,ENSG00000244355,0,0,0,0,0.583258497,0,0,0,0,1.789854179
LY6G6C,ENSG00000204421,0,0,3.598860452,7.485367457,6.415843469,2.557067379,3.128137887,2.771438644,0,8.949270893
DDAH2,ENSG00000213722,92.0338285,114.363524,316.6997198,202.1049213,303.2944186,185.8135629,214.2774453,247.350899,350.061442,288.1665228
CLIC1,ENSG00000213719,1745.766684,2520.762675,1918.192621,1772.535014,1938.167986,1503.555619,2436.819414,2112.529106,2538.680878,1859.658492
MSH5,ENSG00000204410,63.99227138,28.590881,37.78803475,86.08172575,58.32584972,35.7989433,50.05020619,51.96447458,14.70846395,44.74635446
SAPCD1,ENSG00000228727,20.13239998,28.590881,12.59601158,14.22219817,23.33033989,23.8659622,25.0251031,11.08575458,13.23761756,28.63766686
VWA7,ENSG00000204396,35.95071426,57.18176201,66.57891837,62.87708663,78.15663863,25.57067379,73.51124035,44.3430183,95.60501568,102.0216882
LSM2,ENSG00000204392,91.31481421,81.00749618,28.79088362,95.0641667,84.5724821,72.4502424,84.45972295,103.2360895,104.430094,84.12314639
HSPA1L,ENSG00000204390,31.63662855,7.94191139,43.18632543,227.5551707,56.57607423,124.4439458,20.33289627,174.6006346,139.7304075,78.75358386
HSPA1A,ENSG00000204389,15124.46549,5522.805181,21379.03052,70652.13781,15047.48597,62335.3362,3237.622713,50710.39859,92591.25141,33300.23699
HSPA1B,ENSG00000204388,15940.5467,6496.483517,21639.9479,75921.08796,16800.76101,61670.49869,3264.211885,54834.99215,90764.46019,35895.52555
SNORD48,ENSG00000201823,2.876057141,0,0,0.748536746,5.249326475,0,0,0,7.354231975,12.52897925
SNORD52,ENSG00000201754,3.595071426,3.176764556,7.197720905,6.736830711,7.582360464,5.114134758,1.564068944,8.314315932,8.82507837,5.369562536
NEU1,ENSG00000204386,194.8528713,144.5427873,374.2814871,423.671798,266.5491332,271.9014979,90.71599873,413.6372176,410.3661442,406.2968985
SLC44A4,ENSG00000204385,2602.112698,4463.354201,4208.867299,2720.182534,4025.650148,845.5369466,2793.427133,2319.694145,1600.280878,3162.672334
EHMT2,ENSG00000204371,209.233157,127.0705822,217.7310574,224.5610237,211.7228345,194.3371208,167.355377,204.3936,147.0846395,257.7390017
ZBTB12,ENSG00000204366,10.78521428,0,0,8.982440948,3.499550983,5.114134758,12.51255155,20.78578983,2.94169279,8.949270893
C2,ENSG00000166278,711.8241423,385.9768936,30.59031385,138.4792979,48.99371377,295.7674601,145.4584118,106.0075281,317.7028213,34.00722939
CFB,ENSG00000243649,1207.943999,2452.462237,80.97436018,127.9997835,113.1521485,344.3517403,911.8521941,151.7362658,994.292163,137.8187718
MIR1236,ENSG00000284446,0.719014285,0,0,0,0,0,0,0,0,0
STK19,ENSG00000204344,37.38874283,33.35602784,21.59316271,47.15781498,46.07742128,38.35601068,32.84544781,57.50735186,54.42131662,57.27533372
C4A,ENSG00000244731,1077.083399,115.9519063,44.98575566,223.812487,83.4059651,713.4217987,391.0172359,352.6655675,2385.712853,48.32606282
C4B,ENSG00000224389,995.1157706,90.53778985,32.38974407,232.0463912,92.15484256,659.7233837,394.1453738,332.5726373,2437.192477,39.37679193
CYP21A2,ENSG00000231852,0,0,0,0,1.166516994,0.852355793,0,0.692859661,0,0
TNXB,ENSG00000168477,533.5085996,22.23735189,98.96866244,1416.98006,562.2611913,831.0468981,187.6882732,1290.797548,163.2639498,254.1592934
ATF6B,ENSG00000213676,606.8480567,586.1130606,735.9669625,592.8411026,748.9039104,571.0783813,597.4743364,560.5234658,566.2758621,787.5358386
FKBPL,ENSG00000204315,39.54578568,54.00499745,32.38974407,48.65488847,58.90910822,55.40312654,46.92206831,38.80014102,50.00877743,35.79708357
PRRT1,ENSG00000204314,0,0,3.598860452,7.485367457,1.166516994,6.818846344,0,0.692859661,0,0
LOC100507547,ENSG00000284954,0,0,0,5.23975722,1.749775492,4.261778965,0,5.542877288,1.470846395,10.73912507
PPT2,ENSG00000221988,37.38874283,6.353529112,52.18347656,55.39171918,39.66157781,56.25548233,31.28137887,52.65733424,42.65454546,30.42752104
EGFL8,ENSG00000241404,11.50422856,6.353529112,34.1891743,17.9648819,20.4140474,11.08062531,7.820344718,23.55722847,5.88338558,10.73912507
AGPAT1,ENSG00000204310,197.0099141,171.545286,206.934476,178.1517455,155.1467603,236.9549104,217.4055832,191.9221261,300.0526646,236.2607516
RNF5,ENSG00000204308,97.78594278,127.0705822,176.3441622,99.55538717,146.3978828,84.3832235,86.0237919,134.4147742,116.1968652,225.5216265
AGER,ENSG00000204305,9.347185707,9.530293668,10.79658136,11.97658793,5.832584972,12.78533689,4.692206831,19.40007051,5.88338558,12.52897925
PBX2,ENSG00000204304,191.9768141,166.7801392,116.9629647,139.2278347,118.4014749,187.5182744,156.4068944,124.714739,316.2319749,98.44197982
GPSM3,ENSG00000213654,149.5549713,76.24234935,34.1891743,78.59635829,29.16292486,135.5245711,129.8177223,72.05740474,277.9899687,34.00722939
NOTCH4,ENSG00000204301,88.43875707,15.88382278,19.79373249,35.18122705,31.49595885,201.1559671,62.56275774,79.67886102,135.3178683,14.31883343
BTNL2,ENSG00000204290,0,0,0,0,0,0.852355793,0,0,0,0
HLA-DRA,ENSG00000204287,2968.809983,3062.401032,753.9612648,1856.371129,359.8704928,5103.054132,2136.518177,1339.990584,37713.97241,655.0866294
HLA-DRB5,ENSG00000198502,1558.103956,39.70955695,100.7680927,1353.354436,1098.27575,5966.490551,907.1599873,437.8873058,33508.82257,41.16664611
HLA-DRB6,ENSG00000290878,378.9205283,27.00249873,3.598860452,56.14025592,146.3978828,106.5444741,380.0687533,165.593459,345.6489028,17.89854179
HLA-DRB1,ENSG00000196126,6020.30661,1281.824498,160.1492901,2869.889883,2420.522763,8720.452118,5896.539917,2832.410294,55586.22696,173.6158553
HLA-DQA1,ENSG00000196735,2239.010484,1821.874473,287.9088362,518.7359647,372.1189212,3989.877467,2325.770519,3363.833654,13917.14859,306.0650645
HLA-DQA1,ENSG00000237541,2239.010484,1821.874473,287.9088362,518.7359647,372.1189212,3989.877467,2325.770519,3363.833654,13917.14859,306.0650645
HLA-DQB1,ENSG00000179344,2463.342941,6450.420431,716.17323,1364.582487,330.1243094,4060.622998,1803.371492,3356.905058,20313.85956,485.0504824
HLA-DQB2,ENSG00000232629,32.35564283,30.17926328,8.997151131,8.233904202,2.333033989,35.7989433,28.15324098,27.02152678,119.138558,5.369562536
HLA-DOB,ENSG00000241106,163.2162427,98.47970124,28.79088362,47.90635172,14.58146243,115.068032,70.38310246,41.57157966,319.1736677,3.579708357
TAP2,ENSG00000204267,863.5361565,798.9562859,212.3327667,315.1339699,293.9622826,658.8710279,599.0384054,252.8937763,992.8213166,289.9563769
PSMB8,ENSG00000204264,750.6509137,924.4384858,277.1122548,306.9000657,422.279152,537.8365053,639.7041979,276.4510047,814.8489028,384.8186484
